,Wake,,,,,Sleep_PriRP,,,,,Sleep_PriWeak,,,,,Sleep_all,,,,,Sleep_AddRP,,,
,,,,,,,,,,,,,,,,,,,,,,,,
RUN ID,Close_Re_Wake,Close_Un_Wake,Far_Re_Wake,Far_Un_Wake,,Close_Re_Sleep,Close_Un_Sleep,Far_Re_Sleep,Far_Un_Sleep,,Close_Re_Sleep_Priweak,Close_Un_Sleep_Priweak,Far_Re_Sleep_Priweak,Far_Un_Sleep_Priweak,,Close_Re_Sleep_Sleep_all,Close_Un_Sleep_Sleep_all,Far_Re_Sleep_Sleep_all,Far_Un_Sleep_Sleep_all,,Close_Re_Sleep_Sleep_AddRP,Close_Un_Sleep_Sleep_AddRP,Far_Re_Sleep_Sleep_AddRP,Far_Un_Sleep_Sleep_AddRP
1,0.229925833,0.235484167,0.064549167,0.004101667,,0.318104167,0.1663075,0.190725833,-0.187239167,,0.037266667,0.081558333,-0.024415,0.005798333,,0.037266667,0.0723,0.0885625,-0.156361667,,0.264100833,0.27396,0.072424167,-0.077800833
2,0.217318333,0.321215,-0.252764167,-0.3120475,,0.2840525,0.224056667,0.281593333,-0.0766925,,0.003968333,0.180635833,-0.10835,-0.0240975,,-0.006448333,0.177541667,0.0197925,-0.322123333,,0.288695833,0.396906667,-0.266839167,-0.2979725
3,0.251783333,0.269620833,0.039458333,-0.187658333,,0.161418333,0.085955,-0.06633,-0.2712025,,-0.011290833,0.122818333,-0.158684167,0.484485,,-0.00499,0.051050833,-0.071901667,-0.149624167,,0.311633333,0.2842975,0.037475,-0.215675
4,0.337500833,0.309540833,-0.283538333,-0.241394167,,0.277003333,0.284001667,0.231581667,-0.306053333,,0.008333333,0.107135,-0.076261667,0.030825,,0.008333333,0.116393333,-0.064960833,0.013595,,0.3944425,0.384999167,-0.298838333,-0.255490833
5,0.30034,0.23535,-0.083890833,-0.034575833,,0.259639167,-0.007929167,0.097628333,-0.154289167,,-0.002909167,0.227730833,-0.1777425,0.061504167,,-0.002909167,0.2015725,-0.078879167,-0.308593333,,0.366306667,0.251834167,-0.109019167,-0.0764075
6,0.1321425,0.324334167,0.054665,-0.158969167,,0.186218333,-0.076796667,0.120371667,-0.453739167,,0.007274167,0.145905,-0.090775833,0.04063,,0.007274167,0.123036667,-0.235953333,-0.224499167,,0.21663,0.357591667,0.073006667,-0.244438333
7,0.25395,0.286969167,0.045350833,-0.059841667,,0.2938225,0.133490833,0.3549175,-0.3191325,,0.010416667,0.084186667,-0.1809125,-0.287140833,,0.010416667,0.124695,-0.055531667,-0.279828333,,0.304875,0.317060833,0.0433675,-0.050233333
8,0.2818375,0.2578425,-0.3132925,-0.279511667,,0.276649167,0.1660225,-0.064125,-0.169784167,,-0.017591667,0.038374167,-0.131783333,0.042336667,,-0.009258333,0.038374167,-0.135566667,-0.104845833,,0.344978333,0.2910925,-0.3182175,-0.3105275
9,0.2098725,0.300443333,-0.201213333,-0.1746475,,0.242776667,0.038558333,0.150114167,-0.252620833,,0.027775,0.073504167,-0.245948333,-0.008729167,,0.027775,0.105199167,-0.059556667,-0.1599275,,0.294589167,0.35021,-0.239149167,-0.178755
10,0.237585833,0.193913333,-0.116319167,-0.017546667,,0.193093333,0.108819167,-0.045846667,-0.133689167,,-0.023691667,0.072916667,0.096691667,0.040545833,,-0.0112425,0.016768333,0.056958333,-0.126430833,,0.278628333,0.2291475,-0.100194167,-0.01953
11,0.282150833,0.322241667,-0.128785833,-0.078106667,,0.265730833,0.169203333,0.143050833,-0.143005833,,0.009440833,0.108875,-0.18651,0.251349167,,0.018699167,0.116975,0.02857,0.044154167,,0.327801667,0.367991667,-0.132411667,-0.118618333
12,0.290560833,0.271799167,0.107165,-0.0787375,,0.279928333,0.174525833,0.41168,-0.191619167,,-0.0081,0.15893,-0.077938333,0.081195,,0.001158333,0.159214167,0.039170833,-0.159041667,,0.398095,0.305875,0.117548333,-0.082704167
13,0.20574,0.334481667,-0.255435833,0.047873333,,0.2540675,0.206138333,0.107634167,-0.388523333,,-0.011524167,0.091776667,-0.0984725,-0.121069167,,0.007225833,0.101035,0.011124167,-0.351125,,0.242773333,0.362538333,-0.2774025,0.063431667
14,0.292460833,0.321968333,0.135860833,-0.222170833,,0.345973333,0.209085833,0.403059167,-0.185560833,,0.021659167,0.231515833,0.0496975,0.1739825,,0.0112425,0.227499167,0.004981667,0.0905775,,0.347085833,0.3604925,0.1921775,-0.284359167
15,0.233550833,0.226059167,-0.2066425,-0.282680833,,0.309006667,0.198705,0.0847125,-0.636569167,,0.003160833,0.08576,-0.131098333,-0.0396,,0.037266667,0.08576,-0.013086667,-0.5390675,,0.317393333,0.241433333,-0.241266667,-0.290450833
16,0.197288333,0.215728333,-0.009630833,-0.024550833,,0.219181667,0.317630833,-0.1765875,-0.311143333,,0.019575833,0.1701975,-0.130259167,-0.0272625,,0.0299925,0.097280833,-0.045384167,0.007754167,,0.231645833,0.250729167,4.91667E-05,-0.0305925
17,0.261554167,0.22323,-0.268020833,-0.074221667,,0.207890833,0.187211667,0.252195833,-0.1687275,,0.016484167,0.0977425,-0.009678333,0.38861,,0.027775,0.068133333,0.050409167,0.209315833,,0.306054167,0.251238333,-0.308129167,-0.168044167
18,0.3364775,0.1757,-0.110251667,-0.213350833,,0.293359167,0.114729167,0.217914167,-0.390031667,,0.0020325,0.027241667,-0.0383375,0.191533333,,0.011290833,0.020031667,0.043835833,0.148756667,,0.396618333,0.219018333,-0.152476667,-0.2213425
19,0.318399167,0.294616667,-0.277918333,-0.38898,,0.2289175,0.279255833,0.085256667,-0.302149167,,-0.007274167,0.1201075,0.033833333,-0.225929167,,0.001059167,0.129365833,0.060733333,-0.285805,,0.322925,0.4050575,-0.298100833,-0.38058
20,0.246608333,0.2275,-0.008131667,-0.2432925,,0.235601667,0.076051667,0.4197625,-0.374863333,,0,0.060655833,-0.170783333,-0.0255975,,0.0103175,0.068855,0.0204225,-0.022511667,,0.321240833,0.278984167,-0.008131667,-0.341096667
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
